displayName,rankingSortRank
American Academy of Art,1
Williams College,1
Art Academy of Cincinnati,2
Amherst College,2
Boston Architectural College,3
Pomona College,3
California College of the Arts,4
Swarthmore College,4
Cleveland Institute of Art,5
Wellesley College,5
Cleveland Institute of Music,6
Bowdoin College,6
Carleton College,6
United States Naval Academy,6
College for Creative Studies,7
Columbia College Hollywood,8
Columbus College of Art and Design,9
Claremont McKenna College,9
United States Military Academy at West Point,9
Cornish College of the Arts,10
