displayName,rankingSortRank
Princeton University,1
Massachusetts Institute of Technology,2
"University of California, Berkeley",2
Harvard University,3
Stanford University,3
Yale University,3
University of Pennsylvania,4
University of Michigan--Ann Arbor,4
Carnegie Mellon University,5
New York University,5
University of Chicago,6
University of Texas at Austin,7
Johns Hopkins University,7
Cornell University,8
Indiana University--Bloomington,8
University of North Carolina at Chapel Hill,8
University of Southern California,8
University of Virginia,8
California Institute of Technology,9
Duke University,10
