displayName,rankingSortRank
University of Pennsylvania,1
Williams College,1
Massachusetts Institute of Technology,2
"University of California, Berkeley",2
Amherst College,2
Pomona College,3
University of Michigan--Ann Arbor,4
Swarthmore College,4
Carnegie Mellon University,5
New York University,5
Wellesley College,5
Bowdoin College,6
Carleton College,6
United States Naval Academy,6
University of Texas at Austin,7
Cornell University,8
Indiana University--Bloomington,8
University of North Carolina at Chapel Hill,8
University of Southern California,8
University of Virginia,8
Claremont McKenna College,9
United States Military Academy at West Point,9
