displayName,rankingSortRank,primaryPhotoThumb,location,aliasNames
Massachusetts Institute of Technology,1,https://www.usnews.com/dims4/USNEWS/5e3efc1/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa8%2Fc5193da7eb9dcbd26e794c018ac87a%2Fcollege-photo_6935.jpg,"Cambridge, MA",MIT
Stanford University,2,https://www.usnews.com/dims4/USNEWS/df1fb51/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F6d%2Fc497d367e3b5da44ac673b8f9dfbbf%2Fcollege-photo_10369.jpg,"Stanford, CA",
"University of California, Berkeley",3,https://www.usnews.com/dims4/USNEWS/1a794a4/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fde%2F0d94d5e7c41f245912bce74f83a846%2Fcollege-photo_2013.jpg,"Berkeley, CA",UC Berkeley Cal Berkeley University of California Berkeley
California Institute of Technology,4,https://www.usnews.com/dims4/USNEWS/2c48cc9/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F36%2Fb2a8b47dd2d1a501ad2f9a8338118e%2Fcollege-photo_34898.jpg,"Pasadena, CA",CalTech Cal Tech
Georgia Institute of Technology,4,https://www.usnews.com/dims4/USNEWS/2919797/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fb7%2F3d7674f4887a909f520eb9c4d17fd1%2F16NE10500-P1-018-h.jpg,"Atlanta, GA",Georgia Tech
University of Michigan--Ann Arbor,6,https://www.usnews.com/dims4/USNEWS/614b6c7/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F18%2F9a8520bedd7484acede46418483a33%2FUMMS_THSL_at_night.jpg,"Ann Arbor, MI",UM University of Michigan Ann Arbor
Carnegie Mellon University,7,https://www.usnews.com/dims4/USNEWS/8bcc9b7/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc7%2F5cc4f10c79126ea2a09bd2c7bebf75%2Fcollege-photo_33151.jpg,"Pittsburgh, PA",CMU
University of Illinois Urbana-Champaign,7,https://www.usnews.com/dims4/USNEWS/ceb0806/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F0a%2F05aead8111896ca3aba4bff3c816e3%2Fcollege-photo_12941.jpg,"Champaign, IL",University of Illinois Urbana Champaign
Cornell University,9,https://www.usnews.com/dims4/USNEWS/79fff8e/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F59%2F0dd395ffda36a08c792a2b32303c7b%2Fcollege-photo_73.jpg,"Ithaca, NY",
Purdue University--West Lafayette,9,https://www.usnews.com/dims4/USNEWS/f8bed07/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1b%2F10e3ffe142fb8c23d5128df1de75a2%2Fcollege-photo_3097.jpg,"West Lafayette, IN",Purdue University West Lafayette Purdue University West Lafayette
University of Texas at Austin,9,https://www.usnews.com/dims4/USNEWS/8b436d8/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fbe%2F5e%2F6008045e418a9a9be022f2eab7ee%2Fut-austin-hero-1920x640.jpg,"Austin, TX",UT Austin University of Texas Austin
