displayName,rankingSortRank,primaryPhotoThumb,location,aliasNames
American Academy of Art,1,,"Chicago, IL",
Williams College,1,https://www.usnews.com/dims4/USNEWS/e65b010/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F47%2Fae80f6eb2801a59e941594a24d7c8e%2Fcollege-photo_13368.jpg,"Williamstown, MA",
Art Academy of Cincinnati,2,https://www.usnews.com/dims4/USNEWS/2b36ca6/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fbc%2F1751c91383e7c2e057b9ed4b3e0037%2Fcollege-photo_26869.jpg,"Cincinnati, OH",
Amherst College,2,https://www.usnews.com/dims4/USNEWS/a06e4ef/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F5c%2F6b3bbcf416787a8cea3c60410f577d%2Fcollege-photo_16085.jpg,"Amherst, MA",
Boston Architectural College,3,https://www.usnews.com/dims4/USNEWS/cb6c256/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F97%2F0e47e8df501c18fff93d97c00d432d%2Fcollege-photo_24197.jpg,"Boston, MA",
Pomona College,3,https://www.usnews.com/dims4/USNEWS/6ea35d1/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F77%2F0c4d76bdd3d3010fd86dfda6fd27ff%2Fcollege-photo_8858.jpg,"Claremont, CA",
California College of the Arts,4,https://www.usnews.com/dims4/USNEWS/907ff53/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F89%2F282c25a12127f4927358f3d1c44211%2Fcollege-photo_22303.jpg,"San Francisco, CA",CCA
Swarthmore College,4,https://www.usnews.com/dims4/USNEWS/0c4c7c6/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F61%2F4c5ed8d6977d83ed4880f16d245d49%2F201105_Campus_3_%281%29.jpg,"Swarthmore, PA",
Cleveland Institute of Art,5,,"Cleveland, OH",
Wellesley College,5,https://www.usnews.com/dims4/USNEWS/ac0f2c4/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F63%2Fc85d8fea3a65f4a0888e30607c53a7%2F1.JPG,"Wellesley, MA",
Cleveland Institute of Music,6,,"Cleveland, OH",
Bowdoin College,6,https://www.usnews.com/dims4/USNEWS/5eab336/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F41%2Fba3d575db5483db5dafe7409054ebc%2Fcollege-photo_19140.jpg,"Brunswick, ME",
Carleton College,6,https://www.usnews.com/dims4/USNEWS/836b85a/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fda%2F59bce6d585cd79e6f5d6b1f07d4c11%2FZoom-1.jpg,"Northfield, MN",
United States Naval Academy,6,https://www.usnews.com/dims4/USNEWS/a9fa9e8/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F85%2F0fc7ab99547a48baec1ff05295cff0%2Fcollege-photo_10378.jpg,"Annapolis, MD",USNA
College for Creative Studies,7,,"Detroit, MI",
Columbia College Hollywood,8,,"Tarzana, CA",
Columbus College of Art and Design,9,,"Columbus, OH",
Claremont McKenna College,9,https://www.usnews.com/dims4/USNEWS/6b9e02b/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F73%2F6c62cf381bdfaae6aedc469c83ee53%2Fkravis_center.jpg,"Claremont, CA",
United States Military Academy at West Point,9,https://www.usnews.com/dims4/USNEWS/b3d87dc/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F16%2F77df761027aa15bb6489222b747d4a%2Fcollege-photo_5060.jpg,"West Point, NY",USMA West Point
Cornish College of the Arts,10,https://www.usnews.com/dims4/USNEWS/6d6d056/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ff6%2F06f42d28150b3a88b9aea560374c84%2Fcollege-photo_20914.jpg,"Seattle, WA",
Culinary Institute of America,11,,"Hyde Park, NY",CIA
Middlebury College,11,https://www.usnews.com/dims4/USNEWS/618f012/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa6%2F04d2c2347f4917be8503233f5b472e%2FBJS-20181023-090440-0224_Pano_sky_usnews.jpg,"Middlebury, VT",
Washington and Lee University,11,https://www.usnews.com/dims4/USNEWS/a255eb6/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F96%2Fcd%2F647a6b3544a38a047a6a818b27ae%2Fhero-image.png,"Lexington, VA",W&L
Curtis Institute of Music,12,https://www.usnews.com/dims4/USNEWS/e0a53cc/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F07%2Fdc1ee0a224337714cfc39f956d22d6%2Fcollege-photo_17586.jpg,"Philadelphia, PA",
Design Institute of San Diego,13,,"San Diego, CA",
Smith College,13,https://www.usnews.com/dims4/USNEWS/a739bf4/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F20%2Fdc9c68ec958ce1a78a62811f197400%2Fcollege-photo_15882.jpg,"Northampton, MA",
Vassar College,13,https://www.usnews.com/dims4/USNEWS/d075e2b/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F4c%2Fd70e9c02cbb92dd7b360af7cee9594%2Fcollege-photo_11058.jpg,"Poughkeepsie, NY",
Escuela de Artes Plasticas de Puerto Rico,14,,"San Juan, PR",
Five Towns College,15,,"Dix Hills, NY",
Davidson College,15,https://www.usnews.com/dims4/USNEWS/1899dcb/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Feb%2Fd133b17495cf5427a75f4a4814d33f%2Fcollege-photo_37110.jpg,"Davidson, NC",
Grinnell College,15,https://www.usnews.com/dims4/USNEWS/f8d80c0/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F85%2Fa539b936c979d67dd8e4effa7a37d3%2FGrinell_Hero_Imag-min.jpg,"Grinnell, IA",
Hamilton College,15,https://www.usnews.com/dims4/USNEWS/5736e2a/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F43%2F3d77bf461383d6b7e2aefd1d521bfd%2Fcollege-photo_36241.jpg,"Clinton, NY",
