displayName,rankingSortRank,primaryPhotoCardSmall,primaryPhotoThumb,location,isPublic,aliasNames
Princeton University,1,,,,,
Massachusetts Institute of Technology,2,,,,,
Harvard University,3,,,,,
Stanford University,3,,,,,
Yale University,3,,,,,
University of Pennsylvania,4,,,,,
University of Chicago,6,,,,,
Johns Hopkins University,7,,,,,
California Institute of Technology,9,,,,,
Duke University,10,,,,,
Northwestern University,10,,,,,
"University of California, Berkeley",11,,,,,
Cornell University,12,,,,,
Dartmouth College,12,,,,,
Carnegie Mellon University,13,,,,,
Brown University,13,,,,,
Vanderbilt University,13,,,,,
University of Michigan--Ann Arbor,14,,,,,
New York University,15,,,,,
Rice University,15,,,,,
Washington University in St. Louis,15,,,,,
University of Southern California,16,,,,,
University of Virginia,16,,,,,
University of North Carolina at Chapel Hill,18,,,,,
Columbia University,18,,,,,
University of Notre Dame,18,,,,,
"University of California, Los Angeles",20,,,,,
University of Texas at Austin,22,,,,,
Emory University,22,,,,,
Georgetown University,22,,,,,
University of Florida,29,,,,,
Wake Forest University,29,,,,,
Tufts University,32,,,,,
"University of California, Santa Barbara",32,,,,,
"University of California, Irvine",34,,,,,
"University of California, San Diego",34,,,,,
Boston College,36,,,,,
University of Rochester,36,,,,,
"University of California, Davis",38,,,,,
University of Wisconsin--Madison,38,,,,,
Indiana University--Bloomington,40,,,,,
Boston University,41,,,,,
University of Illinois Urbana-Champaign,41,,,,,
William & Mary,41,,,,,
Brandeis University,44,,,,,
Case Western Reserve University,44,,,,,
Georgia Institute of Technology,44,,,,,
Northeastern University,44,,,,,
Tulane University,44,,,,,
The Ohio State University,49,,,,,
University of Georgia,49,,,,,
Lehigh University,51,,,,,
Purdue University--West Lafayette,51,,,,,
Rensselaer Polytechnic Institute,51,,,,,
Villanova University,51,,,,,
Florida State University,55,,,,,
Pepperdine University,55,,,,,
Rutgers University--New Brunswick,55,,,,,
Santa Clara University,55,,,,,
"University of Maryland, College Park",55,,,,,
University of Miami,55,,,,,
University of Washington,55,,,,,
George Washington University,62,,,,,
Syracuse University,62,,,,,
"University of Minnesota, Twin Cities",62,,,,,
University of Pittsburgh,62,,,,,
Virginia Tech,62,,,,,
Texas A&M University,67,,,,,
University of Connecticut,67,,,,,
University of Massachusetts--Amherst,67,,,,,
Worcester Polytechnic Institute,67,,,,,
Yeshiva University,67,,,,,
American University,72,,,,,
Fordham University,72,,,,,
North Carolina State University,72,,,,,
Southern Methodist University,72,,,,,
Baylor University,77,,,,,
Clemson University,77,,,,,
Loyola Marymount University,77,,,,,
Michigan State University,77,,,,,
The Pennsylvania State University,77,,,,,
Stony Brook University--SUNY,77,,,,,
Binghamton University--SUNY,83,,,,,
Gonzaga University,83,,,,,
Marquette University,83,,,,,
Stevens Institute of Technology,83,,,,,
"University of California, Santa Cruz",83,,,,,
University of Iowa,83,,,,,
Brigham Young University--Provo,89,,,,,
Colorado School of Mines,89,,,,,
Elon University,89,,,,,
Howard University,89,,,,,
Texas Christian University,89,,,,,
University at Buffalo--SUNY,89,,,,,
"University of California, Riverside",89,,,,,
University of Delaware,89,,,,,
Auburn University,97,,,,,
Clark University,97,,,,,
New Jersey Institute of Technology,97,,,,,
"University of California, Merced",97,,,,,
University of Colorado Boulder,97,,,,,
University of Illinois--Chicago,97,,,,,
University of San Diego,97,,,,,
University of South Florida,97,,,,,
Drexel University,105,,,,,
Miami University--Oxford,105,,,,,
Rochester Institute of Technology,105,,,,,
Saint Louis University,105,,,,,
SUNY College of Environmental Science and Forestry,105,,,,,
University of Arizona,105,,,,,
University of Denver,105,,,,,
University of Oregon,105,,,,,
University of San Francisco,105,,,,,
University of Utah,105,,,,,
Creighton University,115,,,,,
Fairfield University,115,,,,,
Loyola University Chicago,115,,,,,
Rutgers University--Newark,115,,,,,
University of South Carolina,115,,,,,
"University of Tennessee, Knoxville",115,,,,,
Arizona State University,121,,,,,
Chapman University,121,,,,,
Temple University,121,,,,,
University of Kansas,121,,,,,
University of Missouri,121,,,,,
University of Vermont,121,,,,,
Clarkson University,127,,,,,
Gallaudet University,127,,,,,
Illinois Institute of Technology,127,,,,,
Iowa State University of Science and Technology,127,,,,,
The New School,127,,,,,
Rutgers University--Camden,127,,,,,
Samford University,127,,,,,
Thomas Jefferson University,127,,,,,
University of Dayton,127,,,,,
University of Oklahoma,127,,,,,
California State University--Long Beach,137,,,,,
DePaul University,137,,,,,
Drake University,137,,,,,
George Mason University,137,,,,,
Seattle University,137,,,,,
Seton Hall University,137,,,,,
University of Alabama,137,,,,,
University of Alabama at Birmingham,137,,,,,
University of Central Florida,137,,,,,
University of Kentucky,137,,,,,
"University of Maryland, Baltimore County",137,,,,,
University of New Hampshire,137,,,,,
University of St. Thomas (MN),137,,,,,
University of Tulsa,137,,,,,
Colorado State University,151,,,,,
CUNY--City College,151,,,,,
Duquesne University,151,,,,,
Florida International University,151,,,,,
James Madison University,151,,,,,
Michigan Technological University,151,,,,,
Oregon State University,151,,,,,
San Diego State University,151,,,,,
Simmons University,151,,,,,
University of Cincinnati,151,,,,,
University of La Verne,151,,,,,
University of Mississippi,151,,,,,
University of Nebraska -- Lincoln,151,,,,,
The University of Texas at Dallas,151,,,,,
University of the Pacific,151,,,,,
Bradley University,166,,,,,
California State University--Fullerton,166,,,,,
Hofstra University,166,,,,,
Kansas State University,166,,,,,
Mercer University,166,,,,,
Quinnipiac University,166,,,,,
St. John's University (NY),166,,,,,
University of Hawaii at Manoa,166,,,,,
Virginia Commonwealth University,166,,,,,
Xavier University,166,,,,,
The Catholic University of America,176,,,,,
Louisiana State University--Baton Rouge,176,,,,,
University of Arkansas,176,,,,,
University of Idaho,176,,,,,
University of Massachusetts--Lowell,176,,,,,
Valparaiso University,176,,,,,
Adelphi University,182,,,,,
Belmont University,182,,,,,
Missouri University of Science and Technology,182,,,,,
Montclair State University,182,,,,,
Ohio University,182,,,,,
Oklahoma State University,182,,,,,
Stockton University,182,,,,,
Touro University,182,,,,,
University at Albany--SUNY,182,,,,,
University of Houston,182,,,,,
University of Louisville,182,,,,,
University of Rhode Island,182,,,,,
Biola University,194,,,,,
California State University--San Bernardino,194,,,,,
Chatham University,194,,,,,
Mississippi State University,194,,,,,
Pacific University,194,,,,,
Robert Morris University,194,,,,,
Rowan University,194,,,,,
Union University,194,,,,,
Florida A&M University,202,,,,,
Florida Institute of Technology,202,,,,,
Indiana University-Purdue University--Indianapolis,202,,,,,
La Salle University,202,,,,,
Loyola University New Orleans,202,,,,,
Springfield College,202,,,,,
St. John Fisher University,202,,,,,
University of Detroit Mercy,202,,,,,
University of North Carolina--Wilmington,202,,,,,
University of Wyoming,202,,,,,
Ball State University,212,,,,,
Bethel University (MN),212,,,,,
Kent State University,212,,,,,
Lipscomb University,212,,,,,
University of Missouri--St. Louis,212,,,,,
University of New Mexico,212,,,,,
Washington State University,212,,,,,
Hampton University,219,,,,,
Illinois State University,219,,,,,
Keiser University,219,,,,,
Misericordia University,219,,,,,
Nova Southeastern University,219,,,,,
Russell Sage College,219,,,,,
Sacred Heart University,219,,,,,
Seattle Pacific University,219,,,,,
Texas Tech University,219,,,,,
University of Colorado Denver,219,,,,,
University of Lynchburg,219,,,,,
University of Maine,219,,,,,
University of North Carolina at Greensboro,219,,,,,
University of North Carolina--Charlotte,219,,,,,
Widener University,219,,,,,
Bellarmine University,234,,,,,
The College of St. Scholastica,234,,,,,
East Carolina University,234,,,,,
Georgia State University,234,,,,,
Maryville University of St. Louis,234,,,,,
Oklahoma City University,234,,,,,
Pace University,234,,,,,
San Francisco State University,234,,,,,
St. Catherine University,234,,,,,
Suffolk University,234,,,,,
University of Hartford,234,,,,,
University of Massachusetts--Boston,234,,,,,
University of Massachusetts--Dartmouth,234,,,,,
Western New England University,234,,,,,
West Virginia University,234,,,,,
Wilkes University,234,,,,,
Abilene Christian University,250,,,,,
