displayName,rankingSortRank,primaryPhotoCardSmall,primaryPhotoThumb,location,isPublic,aliasNames
University of Pennsylvania,1,,,,,
Williams College,1,,,,,
Massachusetts Institute of Technology,2,,,,,
"University of California, Berkeley",2,,,,,
Amherst College,2,,,,,
Pomona College,3,,,,,
University of Michigan--Ann Arbor,4,,,,,
Swarthmore College,4,,,,,
Carnegie Mellon University,5,,,,,
New York University,5,,,,,
Wellesley College,5,,,,,
Bowdoin College,6,,,,,
Carleton College,6,,,,,
United States Naval Academy,6,,,,,
University of Texas at Austin,7,,,,,
Cornell University,8,,,,,
Indiana University--Bloomington,8,,,,,
University of North Carolina at Chapel Hill,8,,,,,
University of Southern California,8,,,,,
University of Virginia,8,,,,,
Claremont McKenna College,9,,,,,
United States Military Academy at West Point,9,,,,,
Middlebury College,11,,,,,
Washington and Lee University,11,,,,,
Smith College,13,,,,,
Vassar College,13,,,,,
Davidson College,15,,,,,
Grinnell College,15,,,,,
Hamilton College,15,,,,,
Barnard College,18,,,,,
Colgate University,18,,,,,
Haverford College,18,,,,,
United States Air Force Academy,18,,,,,
University of Richmond,18,,,,,
Wesleyan University,18,,,,,
Colby College,24,,,,,
Bates College,25,,,,,
Berea College,26,,,,,
Colorado College,27,,,,,
Macalester College,27,,,,,
Harvey Mudd College,29,,,,,
Soka University of America,29,,,,,
Bryn Mawr College,31,,,,,
Kenyon College,31,,,,,
College of the Holy Cross,33,,,,,
Pitzer College,33,,,,,
Scripps College,33,,,,,
Mount Holyoke College,36,,,,,
Bucknell University,37,,,,,
Occidental College,37,,,,,
Denison University,39,,,,,
Franklin & Marshall College,39,,,,,
Lafayette College,39,,,,,
Oberlin College and Conservatory,39,,,,,
Skidmore College,39,,,,,
Trinity College,39,,,,,
DePauw University,45,,,,,
Furman University,45,,,,,
Thomas Aquinas College,45,,,,,
Hillsdale College,48,,,,,
Union College (NY),48,,,,,
Whitman College,48,,,,,
Dickinson College,51,,,,,
Principia College,51,,,,,
Spelman College,51,,,,,
The University of the South,51,,,,,
Centre College,55,,,,,
Connecticut College,55,,,,,
Rhodes College,55,,,,,
Trinity University,55,,,,,
Wabash College,55,,,,,
Bard College,60,,,,,
Gettysburg College,61,,,,,
St. John's College (MD),61,,,,,
Agnes Scott College,63,,,,,
Lawrence University,63,,,,,
St. John's College (NM),63,,,,,
St. Olaf College,63,,,,,
Wheaton College (IL),63,,,,,
Kalamazoo College,68,,,,,
St. Lawrence University,68,,,,,
Virginia Military Institute,70,,,,,
Wofford College,70,,,,,
Hobart and William Smith Colleges,72,,,,,
Knox College,72,,,,,
Reed College,72,,,,,
Sarah Lawrence College,72,,,,,
Allegheny College,76,,,,,
College of Wooster,76,,,,,
Muhlenberg College,76,,,,,
New College of Florida,76,,,,,
Willamette University,76,,,,,
Beloit College,81,,,,,
Earlham College,81,,,,,
Gustavus Adolphus College,81,,,,,
Bennington College,84,,,,,
Lake Forest College,85,,,,,
Southwestern University,85,,,,,
University of Puget Sound,85,,,,,
Washington College,85,,,,,
Juniata College,89,,,,,
St. Mary's College of Maryland,89,,,,,
Stonehill College,89,,,,,
Ursinus College,89,,,,,
Wheaton College (MA),89,,,,,
Augustana College,94,,,,,
College of St. Benedict,94,,,,,
Hampden-Sydney College,94,,,,,
Lewis & Clark College,94,,,,,
St. John's University (MN),94,,,,,
Washington & Jefferson College,94,,,,,
Cornell College,100,,,,,
Saint Mary's College,100,,,,,
Hanover College,102,,,,,
Hendrix College,102,,,,,
Hollins University,102,,,,,
Hope College,102,,,,,
Transylvania University,102,,,,,
Austin College,107,,,,,
Luther College,107,,,,,
Randolph-Macon College,107,,,,,
Whittier College,107,,,,,
Birmingham-Southern College,111,,,,,
Drew University,111,,,,,
Goucher College,111,,,,,
Lycoming College,111,,,,,
Ohio Wesleyan University,111,,,,,
Saint Anselm College,111,,,,,
St. Norbert College,111,,,,,
Susquehanna University,111,,,,,
Saint Michael's College,119,,,,,
Hampshire College,120,,,,,
Linfield University,120,,,,,
Roanoke College,120,,,,,
Saint Vincent College,120,,,,,
Morehouse College,124,,,,,
Presbyterian College,124,,,,,
Randolph College,124,,,,,
Salem College,124,,,,,
Westminster College (PA),124,,,,,
Westmont College,124,,,,,
Eckerd College,130,,,,,
Houghton University,130,,,,,
Illinois College,130,,,,,
Massachusetts College of Liberal Arts,130,,,,,
Meredith College,130,,,,,
Monmouth College,130,,,,,
Albion College,136,,,,,
Millsaps College,136,,,,,
Purchase College--SUNY,136,,,,,
Ripon College,136,,,,,
University of Minnesota Morris,136,,,,,
University of North Carolina Asheville,136,,,,,
Coe College,142,,,,,
Franklin College,142,,,,,
Hartwick College,142,,,,,
Central College,145,,,,,
Concordia College at Moorhead,145,,,,,
Covenant College,147,,,,,
Wittenberg University,147,,,,,
Aquinas College,149,,,,,
University of Mary Washington,149,,,,,
Emmanuel College (MA),151,,,,,
Fisk University,151,,,,,
Gordon College,151,,,,,
Marymount Manhattan College,151,,,,,
Tougaloo College,151,,,,,
