displayName,rankingSortRank,primaryPhotoThumb,location,aliasNames
Massachusetts Institute of Technology,1,https://www.usnews.com/dims4/USNEWS/5e3efc1/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa8%2Fc5193da7eb9dcbd26e794c018ac87a%2Fcollege-photo_6935.jpg,"Cambridge, MA",MIT
Stanford University,2,https://www.usnews.com/dims4/USNEWS/df1fb51/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F6d%2Fc497d367e3b5da44ac673b8f9dfbbf%2Fcollege-photo_10369.jpg,"Stanford, CA",
Princeton University,3,https://www.usnews.com/dims4/USNEWS/8a92950/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F4a%2Fde%2Fe754e2714cae81f92edb1c7b273d%2F190827princeton-university23.jpg,"Princeton, NJ",
Harvard University,3,https://www.usnews.com/dims4/USNEWS/f631f63/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F65%2F09a2103d862fb8eb15a9a6542c080b%2Fcollege-photo_8866.jpg,"Cambridge, MA",
Yale University,3,https://www.usnews.com/dims4/USNEWS/2f95732/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F8f%2Ff7526019804e07ae828f06b89df8c0%2Fcollege-photo_8737.jpg,"New Haven, CT",
University of Chicago,6,https://www.usnews.com/dims4/USNEWS/d7199c2/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F75%2F01990508d344ade6068974770c9b4f%2FHero-uchicago-campus.jpg,"Chicago, IL",UChicago
Johns Hopkins University,7,https://www.usnews.com/dims4/USNEWS/1295fa1/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F16%2Fd110e9e042d0e4bd05b155b1be212b%2Fcollege-photo_9422.jpg,"Baltimore, MD",JHU
University of Pennsylvania,7,https://www.usnews.com/dims4/USNEWS/69b6621/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7c%2F2357eaa9bde06e03bfb80c920320a0%2Fcollege-photo_27654.jpg,"Philadelphia, PA",UPenn
California Institute of Technology,9,https://www.usnews.com/dims4/USNEWS/2c48cc9/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F36%2Fb2a8b47dd2d1a501ad2f9a8338118e%2Fcollege-photo_34898.jpg,"Pasadena, CA",CalTech Cal Tech
"University of California, Berkeley",10,https://www.usnews.com/dims4/USNEWS/1a794a4/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fde%2F0d94d5e7c41f245912bce74f83a846%2Fcollege-photo_2013.jpg,"Berkeley, CA",UC Berkeley Cal Berkeley University of California Berkeley
Duke University,10,https://www.usnews.com/dims4/USNEWS/13ef7d8/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F25%2F2d774e6ec10d6ad447ab9c8f3bbd63%2Fcollege-photo_35613.jpg,"Durham, NC",
Northwestern University,10,https://www.usnews.com/dims4/USNEWS/feec2b3/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fe3%2Fa8e6faf36f4bc5e57a814a6b99abce%2FNorthwestern-Hero1.jpg,"Evanston, IL",
