displayName,rankingSortRank,primaryPhotoThumb,location,aliasNames
Williams College,1,https://www.usnews.com/dims4/USNEWS/e65b010/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F47%2Fae80f6eb2801a59e941594a24d7c8e%2Fcollege-photo_13368.jpg,"Williamstown, MA",
University of Pennsylvania,1,https://www.usnews.com/dims4/USNEWS/69b6621/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7c%2F2357eaa9bde06e03bfb80c920320a0%2Fcollege-photo_27654.jpg,"Philadelphia, PA",UPenn
Amherst College,2,https://www.usnews.com/dims4/USNEWS/a06e4ef/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F5c%2F6b3bbcf416787a8cea3c60410f577d%2Fcollege-photo_16085.jpg,"Amherst, MA",
Emory University,2,https://www.usnews.com/dims4/USNEWS/3b1a53a/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ff8%2F56795a274c65bd479f879fb22b191a%2Femory-wall.jpg,"Atlanta, GA",
Pomona College,3,https://www.usnews.com/dims4/USNEWS/6ea35d1/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F77%2F0c4d76bdd3d3010fd86dfda6fd27ff%2Fcollege-photo_8858.jpg,"Claremont, CA",
Duke University,3,https://www.usnews.com/dims4/USNEWS/13ef7d8/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F25%2F2d774e6ec10d6ad447ab9c8f3bbd63%2Fcollege-photo_35613.jpg,"Durham, NC",
University of Michigan--Ann Arbor,3,https://www.usnews.com/dims4/USNEWS/614b6c7/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F18%2F9a8520bedd7484acede46418483a33%2FUMMS_THSL_at_night.jpg,"Ann Arbor, MI",UM University of Michigan Ann Arbor
Swarthmore College,4,https://www.usnews.com/dims4/USNEWS/0c4c7c6/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F61%2F4c5ed8d6977d83ed4880f16d245d49%2F201105_Campus_3_%281%29.jpg,"Swarthmore, PA",
Wellesley College,5,https://www.usnews.com/dims4/USNEWS/ac0f2c4/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F63%2Fc85d8fea3a65f4a0888e30607c53a7%2F1.JPG,"Wellesley, MA",
Case Western Reserve University,5,https://www.usnews.com/dims4/USNEWS/f829920/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F73%2F89297a497b68db55c95d4b31ef24ba%2Fcollege-photo_8808.jpg,"Cleveland, OH",
The Ohio State University,5,https://www.usnews.com/dims4/USNEWS/e7133d6/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F4d%2F068670b264e2badab91987f4639cbc%2Fcollege-photo_21645.jpg,"Columbus, OH",OSU  Ohio State University Columbus
University of North Carolina at Chapel Hill,5,https://www.usnews.com/dims4/USNEWS/d2ce5fd/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc8%2Fc1f072147e28aabbb84a9f0d87d2e3%2Foldwell.JPG,"Chapel Hill, NC",UNC University of North Carolina Chapel Hill
University of Washington,5,https://www.usnews.com/dims4/USNEWS/e076565/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F06%2F034e31d063521a543bb42f6f2c00b6%2F_20180227_Fall-Fling_216.jpg,"Seattle, WA",
Bowdoin College,6,https://www.usnews.com/dims4/USNEWS/5eab336/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F41%2Fba3d575db5483db5dafe7409054ebc%2Fcollege-photo_19140.jpg,"Brunswick, ME",
Carleton College,6,https://www.usnews.com/dims4/USNEWS/836b85a/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fda%2F59bce6d585cd79e6f5d6b1f07d4c11%2FZoom-1.jpg,"Northfield, MN",
United States Naval Academy,6,https://www.usnews.com/dims4/USNEWS/a9fa9e8/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F85%2F0fc7ab99547a48baec1ff05295cff0%2Fcollege-photo_10378.jpg,"Annapolis, MD",USNA
Claremont McKenna College,9,https://www.usnews.com/dims4/USNEWS/6b9e02b/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F73%2F6c62cf381bdfaae6aedc469c83ee53%2Fkravis_center.jpg,"Claremont, CA",
United States Military Academy at West Point,9,https://www.usnews.com/dims4/USNEWS/b3d87dc/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F16%2F77df761027aa15bb6489222b747d4a%2Fcollege-photo_5060.jpg,"West Point, NY",USMA West Point
New York University,9,https://www.usnews.com/dims4/USNEWS/97b4e62/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F9d%2Fd819230374ef6531890bb7eee1dac0%2FNYU_WSP_Header.jpg,"New York, NY",NYU
Oregon Health and Science University,9,https://www.usnews.com/dims4/USNEWS/92b0387/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F45%2Ffa1f9b2fe097f6ed2fe307c98fa38f%2Fcollege-photo_11605.jpg,"Portland, OR",OHSU
University of Alabama at Birmingham,9,https://www.usnews.com/dims4/USNEWS/9454090/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F30%2F09a5b34c4fa3a81530dcb48b57fc70%2Fcollege-photo_12935.jpg,"Birmingham, AL",UAB University of Alabama Birmingham
University of Illinois--Chicago,9,https://www.usnews.com/dims4/USNEWS/904f4dd/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fe9%2F6d907501915ba1862cb6beb9b68690%2Fcollege-photo_9965.jpg,"Chicago, IL",UIC University of Illinois Chicago
University of Iowa,9,https://www.usnews.com/dims4/USNEWS/f50a7e8/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F0a%2Fab%2F705723444698a40a766577a58851%2F2021-09-27-pentacrest-dusk-and-blue-hour-drone-sept-2021-jatorner-0108-1.jpg,"Iowa City, IA",
"University of Maryland, Baltimore",9,https://www.usnews.com/dims4/USNEWS/05de7ad/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F3d%2F8c%2F9b743f4e46c683f1332a5e72a296%2F1.jpg,"Baltimore, MD",University of Maryland Baltimore
Middlebury College,11,https://www.usnews.com/dims4/USNEWS/618f012/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa6%2F04d2c2347f4917be8503233f5b472e%2FBJS-20181023-090440-0224_Pano_sky_usnews.jpg,"Middlebury, VT",
Washington and Lee University,11,https://www.usnews.com/dims4/USNEWS/a255eb6/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F96%2Fcd%2F647a6b3544a38a047a6a818b27ae%2Fhero-image.png,"Lexington, VA",W&L
Smith College,13,https://www.usnews.com/dims4/USNEWS/a739bf4/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F20%2Fdc9c68ec958ce1a78a62811f197400%2Fcollege-photo_15882.jpg,"Northampton, MA",
Vassar College,13,https://www.usnews.com/dims4/USNEWS/d075e2b/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F4c%2Fd70e9c02cbb92dd7b360af7cee9594%2Fcollege-photo_11058.jpg,"Poughkeepsie, NY",
Davidson College,15,https://www.usnews.com/dims4/USNEWS/1899dcb/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Feb%2Fd133b17495cf5427a75f4a4814d33f%2Fcollege-photo_37110.jpg,"Davidson, NC",
Grinnell College,15,https://www.usnews.com/dims4/USNEWS/f8d80c0/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F85%2Fa539b936c979d67dd8e4effa7a37d3%2FGrinell_Hero_Imag-min.jpg,"Grinnell, IA",
Hamilton College,15,https://www.usnews.com/dims4/USNEWS/5736e2a/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F43%2F3d77bf461383d6b7e2aefd1d521bfd%2Fcollege-photo_36241.jpg,"Clinton, NY",
"University of California, Los Angeles",15,https://www.usnews.com/dims4/USNEWS/207a9d2/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa5%2Fc739f4b5f9b9473ecf5578abf290bc%2Fcollege-photo_5632.jpg,"Los Angeles, CA",UCLA University of California Los Angeles
University of Kentucky,15,https://www.usnews.com/dims4/USNEWS/6ac5ab6/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fcc%2F8ff23e604e39fdb0f946d4ac03727d%2Fcollege-photo_21807.jpg,"Lexington, KY",
"University of Minnesota, Twin Cities",15,https://www.usnews.com/dims4/USNEWS/dc78d1c/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1a%2F57ee27ac94e22161e9c049b7e44c48%2Fcollege-photo_25995.jpg,"Minneapolis, MN",University of Minnesota Twin Cities
University of Nebraska Medical Center,15,,"Omaha, NE",
University of Pittsburgh,15,https://www.usnews.com/dims4/USNEWS/46e075d/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fcb%2F27750e68ae1da0cb0935e0a9b92eba%2Fcollege-photo_31411.jpg,"Pittsburgh, PA",Pitt
University of Texas at Austin,15,https://www.usnews.com/dims4/USNEWS/8b436d8/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fbe%2F5e%2F6008045e418a9a9be022f2eab7ee%2Fut-austin-hero-1920x640.jpg,"Austin, TX",UT Austin University of Texas Austin
University of Virginia,15,https://www.usnews.com/dims4/USNEWS/392fdee/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fcd%2Fc4797df7ab3ec18213c260c5a64502%2Fcollege-photo_2352.jpg,"Charlottesville, VA",UVA
Barnard College,18,https://www.usnews.com/dims4/USNEWS/df13c23/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Feb%2F013af048917f822d3a692f6730ed87%2Fcollege-photo_30969.jpg,"New York, NY",
Colgate University,18,https://www.usnews.com/dims4/USNEWS/22d934d/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F25%2F015e55726b00afe23d218731196a03%2Fcollege-photo_4532.jpg,"Hamilton, NY",
Haverford College,18,https://www.usnews.com/dims4/USNEWS/e4d874b/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1a%2Fc0da5c4761ddcd026dd802be1c8080%2FAerial_Horiz_5x7.jpg,"Haverford, PA",
United States Air Force Academy,18,https://www.usnews.com/dims4/USNEWS/f28642f/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc6%2F5b%2F4ee82da74cfe81d3986e4637e350%2F52104065286-00539b5f68-w1.jpg,"USAF Academy, CO",USAFA
University of Richmond,18,https://www.usnews.com/dims4/USNEWS/8f29bd1/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fce%2F06%2F44db7f674e0b977381c6c2d9880b%2Forigstudentconnect-college.jpg,"Univ. of Richmond, VA",
Wesleyan University,18,https://www.usnews.com/dims4/USNEWS/d379dd3/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa2%2Ff3a8290137fd641a593c1ebfd1b778%2Fcollege-photo_27361.jpg,"Middletown, CT",
Boston College,22,https://www.usnews.com/dims4/USNEWS/ff8b7c7/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F6e%2Fd8a881f19b211928f27b07fa3171de%2Fcollege-photo_16949.jpg,"Chestnut Hill, MA",BC
George Washington University,22,https://www.usnews.com/dims4/USNEWS/e405a5a/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F93%2F742265d75c507c9b4d74c460544823%2Fcollege-photo_25925.jpg,"Washington, DC",GW GWU
Indiana University-Purdue University--Indianapolis,22,https://www.usnews.com/dims4/USNEWS/a01e0a9/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fad%2F105679e1b3fba5313bcaa721a19711%2F20160714_Campus_Center_Night_LK-121.jpg,"Indianapolis, IN",IUPUI Indiana University-Purdue University Indianapolis Indiana University Purdue University Indianapolis
University of Florida,22,https://www.usnews.com/dims4/USNEWS/aa1b863/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc9%2F844457842f898f790238b07f5a20a5%2F2021-04-20_Campus-Photos-2.jpg,"Gainesville, FL",
University of Texas Health Science Center--Houston,22,,"Houston, TX",University of Texas Health Science Center Houston
University of Wisconsin--Madison,22,https://www.usnews.com/dims4/USNEWS/c084efb/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7a%2Ff94ebe41ae2cca4b4f0118e82c486f%2Fcollege-photo_30990.jpg,"Madison, WI",University of Wisconsin Madison
Virginia Commonwealth University,22,https://www.usnews.com/dims4/USNEWS/5343416/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F60%2Ff2%2Fc474c46a44eea59b2bc454d687d9%2Fvcu-instituteforcontemporaryart.png,"Richmond, VA",VCU
Colby College,24,https://www.usnews.com/dims4/USNEWS/ebd6d23/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fb7%2Fd97ce88cb3a68f5e76417c9de75caa%2FMiller_point_in_the_sun__USNews.jpg,"Waterville, ME",
Bates College,25,https://www.usnews.com/dims4/USNEWS/4421e87/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F5a%2F823ab6e80f484d8a42ae2688ad60eb%2Fcollege-photo_28075.jpg,"Lewiston, ME",
Berea College,26,https://www.usnews.com/dims4/USNEWS/bb7a9aa/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F06%2F11%2F82c1c2d94ef9bb72ec70fb1d6f92%2F20200507-spring-campus-pics-crystal-wylie-53.jpg,"Berea, KY",
Colorado College,27,https://www.usnews.com/dims4/USNEWS/ab79edc/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fb5%2F19ce46aec82754df0ef5ef11864839%2Fcollege-photo_36473.jpg,"Colorado Springs, CO",
Macalester College,27,https://www.usnews.com/dims4/USNEWS/894ba18/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fb1%2F96%2F0a5ebbe54957b6b876a9f398475e%2F210730-macalester-73021-us-news-hero-images-1-jpg-submitted.jpg,"St. Paul, MN",
Harvey Mudd College,29,https://www.usnews.com/dims4/USNEWS/f9f90dd/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ffe%2Fd66943c89ec6994273b681dec32549%2Fcollege-photo_1938.jpg,"Claremont, CA",
Soka University of America,29,https://www.usnews.com/dims4/USNEWS/1d75c50/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F16%2F62%2Fd8feb22046da8b02896d972dd691%2F211025-submitted.jpg,"Aliso Viejo, CA",
