displayName,rankingSortRank,primaryPhotoThumb,location,aliasNames
University of Pennsylvania,1,https://www.usnews.com/dims4/USNEWS/69b6621/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7c%2F2357eaa9bde06e03bfb80c920320a0%2Fcollege-photo_27654.jpg,"Philadelphia, PA",UPenn
Emory University,2,https://www.usnews.com/dims4/USNEWS/3b1a53a/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ff8%2F56795a274c65bd479f879fb22b191a%2Femory-wall.jpg,"Atlanta, GA",
Duke University,3,https://www.usnews.com/dims4/USNEWS/13ef7d8/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F25%2F2d774e6ec10d6ad447ab9c8f3bbd63%2Fcollege-photo_35613.jpg,"Durham, NC",
University of Michigan--Ann Arbor,3,https://www.usnews.com/dims4/USNEWS/614b6c7/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F18%2F9a8520bedd7484acede46418483a33%2FUMMS_THSL_at_night.jpg,"Ann Arbor, MI",UM University of Michigan Ann Arbor
Case Western Reserve University,5,https://www.usnews.com/dims4/USNEWS/f829920/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F73%2F89297a497b68db55c95d4b31ef24ba%2Fcollege-photo_8808.jpg,"Cleveland, OH",
The Ohio State University,5,https://www.usnews.com/dims4/USNEWS/e7133d6/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F4d%2F068670b264e2badab91987f4639cbc%2Fcollege-photo_21645.jpg,"Columbus, OH",OSU  Ohio State University Columbus
University of North Carolina at Chapel Hill,5,https://www.usnews.com/dims4/USNEWS/d2ce5fd/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc8%2Fc1f072147e28aabbb84a9f0d87d2e3%2Foldwell.JPG,"Chapel Hill, NC",UNC University of North Carolina Chapel Hill
University of Washington,5,https://www.usnews.com/dims4/USNEWS/e076565/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F06%2F034e31d063521a543bb42f6f2c00b6%2F_20180227_Fall-Fling_216.jpg,"Seattle, WA",
New York University,9,https://www.usnews.com/dims4/USNEWS/97b4e62/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F9d%2Fd819230374ef6531890bb7eee1dac0%2FNYU_WSP_Header.jpg,"New York, NY",NYU
Oregon Health and Science University,9,https://www.usnews.com/dims4/USNEWS/92b0387/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F45%2Ffa1f9b2fe097f6ed2fe307c98fa38f%2Fcollege-photo_11605.jpg,"Portland, OR",OHSU
University of Alabama at Birmingham,9,https://www.usnews.com/dims4/USNEWS/9454090/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F30%2F09a5b34c4fa3a81530dcb48b57fc70%2Fcollege-photo_12935.jpg,"Birmingham, AL",UAB University of Alabama Birmingham
University of Illinois--Chicago,9,https://www.usnews.com/dims4/USNEWS/904f4dd/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fe9%2F6d907501915ba1862cb6beb9b68690%2Fcollege-photo_9965.jpg,"Chicago, IL",UIC University of Illinois Chicago
University of Iowa,9,https://www.usnews.com/dims4/USNEWS/f50a7e8/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F0a%2Fab%2F705723444698a40a766577a58851%2F2021-09-27-pentacrest-dusk-and-blue-hour-drone-sept-2021-jatorner-0108-1.jpg,"Iowa City, IA",
"University of Maryland, Baltimore",9,https://www.usnews.com/dims4/USNEWS/05de7ad/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F3d%2F8c%2F9b743f4e46c683f1332a5e72a296%2F1.jpg,"Baltimore, MD",University of Maryland Baltimore
"University of California, Los Angeles",15,https://www.usnews.com/dims4/USNEWS/207a9d2/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa5%2Fc739f4b5f9b9473ecf5578abf290bc%2Fcollege-photo_5632.jpg,"Los Angeles, CA",UCLA University of California Los Angeles
University of Kentucky,15,https://www.usnews.com/dims4/USNEWS/6ac5ab6/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fcc%2F8ff23e604e39fdb0f946d4ac03727d%2Fcollege-photo_21807.jpg,"Lexington, KY",
"University of Minnesota, Twin Cities",15,https://www.usnews.com/dims4/USNEWS/dc78d1c/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1a%2F57ee27ac94e22161e9c049b7e44c48%2Fcollege-photo_25995.jpg,"Minneapolis, MN",University of Minnesota Twin Cities
University of Nebraska Medical Center,15,,"Omaha, NE",
University of Pittsburgh,15,https://www.usnews.com/dims4/USNEWS/46e075d/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fcb%2F27750e68ae1da0cb0935e0a9b92eba%2Fcollege-photo_31411.jpg,"Pittsburgh, PA",Pitt
University of Texas at Austin,15,https://www.usnews.com/dims4/USNEWS/8b436d8/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fbe%2F5e%2F6008045e418a9a9be022f2eab7ee%2Fut-austin-hero-1920x640.jpg,"Austin, TX",UT Austin University of Texas Austin
University of Virginia,15,https://www.usnews.com/dims4/USNEWS/392fdee/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fcd%2Fc4797df7ab3ec18213c260c5a64502%2Fcollege-photo_2352.jpg,"Charlottesville, VA",UVA
Boston College,22,https://www.usnews.com/dims4/USNEWS/ff8b7c7/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F6e%2Fd8a881f19b211928f27b07fa3171de%2Fcollege-photo_16949.jpg,"Chestnut Hill, MA",BC
George Washington University,22,https://www.usnews.com/dims4/USNEWS/e405a5a/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F93%2F742265d75c507c9b4d74c460544823%2Fcollege-photo_25925.jpg,"Washington, DC",GW GWU
Indiana University-Purdue University--Indianapolis,22,https://www.usnews.com/dims4/USNEWS/a01e0a9/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fad%2F105679e1b3fba5313bcaa721a19711%2F20160714_Campus_Center_Night_LK-121.jpg,"Indianapolis, IN",IUPUI Indiana University-Purdue University Indianapolis Indiana University Purdue University Indianapolis
University of Florida,22,https://www.usnews.com/dims4/USNEWS/aa1b863/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc9%2F844457842f898f790238b07f5a20a5%2F2021-04-20_Campus-Photos-2.jpg,"Gainesville, FL",
University of Texas Health Science Center--Houston,22,,"Houston, TX",University of Texas Health Science Center Houston
University of Wisconsin--Madison,22,https://www.usnews.com/dims4/USNEWS/c084efb/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7a%2Ff94ebe41ae2cca4b4f0118e82c486f%2Fcollege-photo_30990.jpg,"Madison, WI",University of Wisconsin Madison
Virginia Commonwealth University,22,https://www.usnews.com/dims4/USNEWS/5343416/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F60%2Ff2%2Fc474c46a44eea59b2bc454d687d9%2Fvcu-instituteforcontemporaryart.png,"Richmond, VA",VCU
Arizona State University,29,https://www.usnews.com/dims4/USNEWS/5edb98c/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd0%2Ff2a8c0a903b07fc0670e8ae1dd4a74%2Fcollege-photo_30360.jpg,"Tempe, AZ",ASU
Loyola University Chicago,29,https://www.usnews.com/dims4/USNEWS/1e81a32/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F9b%2Fc32187fc24665d5f56d983be171a56%2Fcollege-photo_29455.jpg,"Chicago, IL",
Marquette University,29,https://www.usnews.com/dims4/USNEWS/f319cb0/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F60%2F92652cf37cd44afa31adbfb4c9b7a3%2Fcollege-photo_7947.jpg,"Milwaukee, WI",
University of Arizona,29,https://www.usnews.com/dims4/USNEWS/86e8831/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fac%2Fa0%2Ff06edf2d4335874cf75a57b0132a%2F210825-submitted.jpg,"Tucson, AZ",
University of Colorado Denver,29,https://www.usnews.com/dims4/USNEWS/32b3f73/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F54%2F1b%2F897eadfe41a3899f1d9c4aef1742%2Fdenver-skyline-1.jpg,"Denver, CO",UC Denver University of Colorado Denver
University of Kansas,29,https://www.usnews.com/dims4/USNEWS/bd4e3a9/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fe0%2Fe0ca120d3a9ef1d8d4a0872ddc4c83%2Fcollege-photo_1157.jpg,"Lawrence, KS",KU
University of Miami,29,https://www.usnews.com/dims4/USNEWS/b69c02d/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F8d%2F3ab1f0d8509a33f8dec799faccdded%2Fcollege-photo_11206.jpg,"Coral Gables, FL",
University of Rochester,29,https://www.usnews.com/dims4/USNEWS/42f70cb/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F5a%2F2887d63495624806c3c4382a318ca6%2Fcollege-photo_27480.jpg,"Rochester, NY",
University of Texas Health Science Center--San Antonio,29,https://www.usnews.com/dims4/USNEWS/bbacc1b/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F55%2Fb30a59f02ec134652416938bfd4aa4%2F2C6_223_13070105_3688340761_4.jpg,"San Antonio, TX",University of Texas Health Science Center San Antonio
University of Utah,29,https://www.usnews.com/dims4/USNEWS/dd1232a/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F5c%2F56e451b77163161894c4def98b68fd%2Fcollege-photo_20743.jpg,"Salt Lake City, UT",
Baylor University,39,https://www.usnews.com/dims4/USNEWS/3b19498/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F8b%2Ffa3e63d95c8d04d588236fa7237b3e%2Fcollege-photo_33114.jpg,"Waco, TX",
Medical University of South Carolina,39,,"Charleston, SC",
Michigan State University,39,https://www.usnews.com/dims4/USNEWS/5737f42/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F64%2F8948b60c1375c3871898da724f2083%2Fcollege-photo_15870.jpg,"East Lansing, MI",MSU
The Pennsylvania State University,39,https://www.usnews.com/dims4/USNEWS/741ee69/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F0e%2F5de474cdda2fe39ff0c60d2db0259e%2Fcollege-photo_5953.jpg,"University Park, PA",Penn State Pennsylvania State University University Park
Texas Woman's University,39,https://www.usnews.com/dims4/USNEWS/0968118/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F55%2Fc6%2F0352a5ef44f9bab7fcd4cb98a63f%2F210625-submitted.jpg,"Denton, TX",Texas Womans University
University of Alabama,39,https://www.usnews.com/dims4/USNEWS/1e5ddbd/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ff5%2Ff5%2Fc151160f43f69ca6ea9587abe22a%2F190830university-of-alabama0.jpg,"Tuscaloosa, AL",
"University of California, Irvine",39,https://www.usnews.com/dims4/USNEWS/5c155b2/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7c%2Ff4ad1159ac936f2c8e95c998eefd32%2FUCI_Greg_Student_Center-9.jpg,"Irvine, CA",UC Irvine UCI University of California Irvine
University of Connecticut,39,https://www.usnews.com/dims4/USNEWS/d1511a1/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd1%2F202f4160cac59750a606d3da18307f%2Fcollege-photo_18368.jpg,"Storrs, CT",UConn
University of San Francisco,39,https://www.usnews.com/dims4/USNEWS/52a416d/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fdf%2Ffc5de6933abdd6253e6dcd84358b28%2FUSF_2018-06-11-022_HERO.jpg,"San Francisco, CA",USF
University of Tennessee Health Sciences Center,39,,"Memphis, TN",
University of Wisconsin--Milwaukee,39,,"Milwaukee, WI",University of Wisconsin Milwaukee
Villanova University,39,https://www.usnews.com/dims4/USNEWS/08d0c83/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fac%2Fc5781ac26261fc6a4d9fa9a8477ddd%2Fcollege-photo_35418.jpg,"Villanova, PA",
The Catholic University of America,51,https://www.usnews.com/dims4/USNEWS/3536412/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F5f%2F59%2F7e419cfa4a8db1e7314bdfb6aafb%2F210730-73021-heroimagepng-submitted.png,"Washington, DC",CUA
Clemson University,51,https://www.usnews.com/dims4/USNEWS/1fe1bb0/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc3%2F836acf068a9b227834e0adda226ac2%2FPicture1.jpg,"Clemson, SC",
Creighton University,51,https://www.usnews.com/dims4/USNEWS/2ac3c33/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F39%2F83%2Faf2c5d5645738e9f5d50f78068a3%2Flgimage-creightonhalldusk.jpg,"Omaha, NE",
Duquesne University,51,https://www.usnews.com/dims4/USNEWS/ac85ce0/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F57%2F7d78fcf1382ba8c210dbe6ab3dae11%2Fcollege-photo_18781.jpg,"Pittsburgh, PA",
Louisiana State University Health Sciences Center,51,,"New Orleans, LA",LSU
MGH Institute of Health Professions,51,,"Boston, MA",
Seton Hall University,51,https://www.usnews.com/dims4/USNEWS/85967aa/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F13%2Fd7%2Fc3d5438047ec9a51bc56fec0532b%2Fshu-778-panox1920x760.jpg,"South Orange, NJ",
University of Central Florida,51,https://www.usnews.com/dims4/USNEWS/7c16354/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd5%2Ff4ffeeb4fbffe03e2525c316867e95%2Fucf_41566218.jpg,"Orlando, FL",UCF
University of Cincinnati,51,https://www.usnews.com/dims4/USNEWS/34b908f/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F66%2F6035914dbead0a6776e6610cca02b0%2Fcollege-photo_32541.jpg,"Cincinnati, OH",
University of Louisville,51,https://www.usnews.com/dims4/USNEWS/1792c7a/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F55%2Fb5e0ba054b3c201e11a2742b464e96%2Fcollege-photo_2740.jpg,"Louisville, KY",
University of Massachusetts--Amherst,51,https://www.usnews.com/dims4/USNEWS/5362b80/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F0b%2Fa6d5f07e506eb7bd3df0cd435e78fc%2F1_2014_08_30_Football_Gillette_js_MG_2843-48.jpg,"Amherst, MA",UMass Amherst University of Massachusetts Amherst
University of Oklahoma Health Sciences Center,51,,"Oklahoma City, OK",
University of South Carolina,51,https://www.usnews.com/dims4/USNEWS/2361c54/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F6a%2F3c1a5c49f439c1cc21106a7981155b%2Fcollege-photo_19707.jpg,"Columbia, SC",USC
University of South Florida,51,https://www.usnews.com/dims4/USNEWS/a511480/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ff9%2F13afce02d3e80810dced80083ce23c%2F20170818-USF-HUDDLE_%26_USF_PHOTO-22.jpg,"Tampa, FL",
