major,college,url
Computer Science,Massachusetts Institute of Technology,www.mit.edu
Computer Science,Carnegie Mellon University,www.cmu.edu
Computer Science,Stanford University,www.stanford.edu
Computer Science,University of California--Berkeley,www.berkeley.edu
Computer Science,California Institute of Technology,www.caltech.edu
Computer Science,University of Michigan--Ann Arbor,www.umich.edu
Computer Science,University of Illinois--Urbana-Champaign,www.illinois.edu
Computer Science,Purdue University--West Lafayette,www.purdue.edu
Engineering,Massachusetts Institute of Technology (MIT),www.mit.edu
Engineering,Stanford University,www.stanford.edu
Engineering,University of California--Berkeley,www.berkeley.edu
Engineering,California Institute of Technology (Caltech),www.caltech.edu
Engineering,Georgia Institute of Technology,www.gatech.edu
Engineering,University of Michigan--Ann Arbor,www.umich.edu
Engineering,Carnegie Mellon University,www.cmu.edu
Engineering,University of Illinois--Urbana-Champaign,www.illinois.edu
Engineering,Cornell University,www.cornell.edu
Engineering,Purdue University--West Lafayette,www.purdue.edu
Engineering,University of Texas at Austin,www.utexas.edu
Business,University of Pennsylvania,www.upenn.edu
Business,Stanford University,www.stanford.edu
Business,Harvard University,www.harvard.edu
Business,Massachusetts Institute of Technology,www.mit.edu
Business,University of California--Berkeley,www.berkeley.edu
Business,University of Michigan--Ann Arbor,www.umich.edu
Business,Carnegie Mellon University,www.cmu.edu
Business,New York University,www.nyu.edu
Business,University of Texas at Austin,www.utexas.edu
Business,Cornell University,www.cornell.edu
Business,Indiana University--Bloomington,www.iu.edu
Business,University of North Carolina at Chapel Hill,www.unc.edu
Business,University of Southern California,www.usc.edu
Business,University of Virginia,www.uva.edu
Psychology,Stanford University,www.stanford.edu
Psychology,Harvard University,www.harvard.edu
Psychology,University of California--Berkeley,www.berkeley.edu
Psychology,University of California--Los Angeles,www.ucla.edu
Psychology,University of Michigan--Ann Arbor,www.umich.edu
Biology,Massachusetts Institute of Technology (MIT),www.mit.edu
Biology,Harvard University,www.harvard.edu
Biology,California Institute of Technology (Caltech),www.caltech.edu
Biology,Stanford University,www.stanford.edu
Biology,Princeton University,www.princeton.edu
